식품코드,식품명,영양성분함량기준량,에너지,단백질,지방,탄수화물,당류,나트륨,콜레스테롤,포화지방산,트랜스지방산,식품중량,맛태그,재료태그,총칼로리
S-130,감자국_소고기,100,37,2,1.42,4.04,0.21,47,4.93,0.44,,168.8,"구수,짭짤","채소, 소고기",62.456
S-131,김치국_두부,100,18,1.6,0.51,1.7,0.49,129,5.34,0.09,,187.7,"매움,새콤,구수,짭짤","채소, 두부",33.786
S-139,콩나물국_바지락,100,6,0.7,0.19,0.65,0.08,118,0.2,0.04,,170,"구수,짭짤","채소, 해산물",10.2
S-140,콩나물국_콩나물_소고기,100,29,2.31,1.63,1.53,0.33,117,5.29,0.47,,180,"구수,짭짤","채소, 소고기",52.2
S-143,달래 된장국,100,39,3,1.85,2.55,0.79,188,3.84,0.46,,243.4,"구수,짭짤",채소,94.926
S-146,아욱 된장국_건새우,100,19,1.7,0.37,2.84,0.43,251,5.46,0.07,,188.4,"구수,짭짤",해산뭉,35.796
S-147,애호박 감자된장국_바지락,100,23,1.9,0.3,3.35,0.67,186,0.89,0.06,,222.2,"구수,짭짤",채소,51.106
S-148,양배추 된장국,100,34,2.9,0.89,3.93,1.61,313,9.07,0.16,,184.4,"구수,짭짤",채소,62.696
S-149,열무 된장국,100,20,2.1,0.51,2.09,0.48,338,7.89,0.1,,152.5,"구수,짭짤",채소,30.5
S-154,미역국_들깨,100,17,0.75,1.21,1.29,0.04,194,0,0.11,,180,"구수,짭짤",해산물,30.6
S-155,유부국,100,17,1.08,1.02,1.13,0.2,162,0,0.16,,190,"구수,짭짤",두부,32.3
S-159,미역냉국,100,26,0.9,1.65,2.58,0.89,643,0.03,0.26,,160,"구수,짭짤",해산물,41.6
S-160,가지냉국,100,19,1.1,0.39,3.42,1.4,654,0,0.08,,160,"구수,짭짤",채소,30.4
S-161,감자 호박된장국,100,25,2.1,0.43,3.51,0.55,377,9.39,0.09,,320,"구수,짭짤",채소,80
S-163,버섯국,100,42,3.3,2.43,2.71,0.5,161,7.66,0.72,,320,"구수,짭짤",채소,134.4
S-165,소고기 두부국,100,34,2.8,2.18,0.62,0.04,160,6.14,0.61,,320,"구수,짭짤",두부,108.8
